Row.names	Pop1	Pop2	Genetic-Group	Pop3	Group.x	Genotype_ID	Group.y	Sampling_year	Group_2	Specie	Race
VaNa194302	1,00E-05	1,00E-05	ML-LR	0.99998	LR<1960	VaNa194302	LR<1960	1946	VaNa1946	Zea mays ssp. mays	Vandeño
VaNa194304	1,00E-05	1,00E-05	ML-LR	0.99998	LR<1960	VaNa194304	LR<1960	1946	VaNa1946	Zea mays ssp. mays	Vandeño
VaNa194305	1,00E-05	1,00E-05	ML-LR	0.99998	LR<1960	VaNa194305	LR<1960	1946	VaNa1946	Zea mays ssp. mays	Vandeño
VaNa194306	1,00E-05	1,00E-05	ML-LR	0.99998	LR<1960	VaNa194306	LR<1960	1946	VaNa1946	Zea mays ssp. mays	Vandeño
VaNa200301	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	VaNa200301	LR>2000	2003	VaNa2003	Zea mays ssp. mays	Vandeño
VaNa200303	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	VaNa200303	LR>2000	2003	VaNa2003	Zea mays ssp. mays	Vandeño
VaNa200304	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	VaNa200304	LR>2000	2003	VaNa2003	Zea mays ssp. mays	Vandeño
VaNa200305	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	VaNa200305	LR>2000	2003	VaNa2003	Zea mays ssp. mays	Vandeño
VaNa201501	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	VaNa201501	LR>2000	2015	VaNa2015	Zea mays ssp. mays	Vandeño (Putatuve creolized MV)
VaNa201502	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	VaNa201502	LR>2000	2015	VaNa2015	Zea mays ssp. mays	Vandeño (Putatuve creolized MV)
VaNa201503	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	VaNa201503	LR>2000	2015	VaNa2015	Zea mays ssp. mays	Vandeño (Putatuve creolized MV)
VaNa201504	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	VaNa201504	LR>2000	2015	VaNa2015	Zea mays ssp. mays	Vandeño (Putatuve creolized MV)
VaNa201505	1,00E-05	1,00E-05	ML-LR	0.99998	LR>2000	VaNa201505	LR>2000	2015	VaNa2015	Zea mays ssp. mays	Vandeño (Putatuve creolized MV)
ZmNa197901	1,00E-05	1,00E-05	ML-LR	0.99998	LR 1960-1980	ZmNa197901	LR 1960-1980	1979	ZmNa1979	Zea mays ssp. mays	Zamorano
TbNa201505	1.2e-05	1,00E-05	ML-LR	0.999978	LR>2000	TbNa201505	LR>2000	2015	TbNa2015	Zea mays ssp. mays	Tabloncillo
TbNa201503	1.3e-05	1,00E-05	ML-LR	0.999977	LR>2000	TbNa201503	LR>2000	2015	TbNa2015	Zea mays ssp. mays	Tabloncillo
VaNa200302	1.7e-05	1,00E-05	ML-LR	0.999973	LR>2000	VaNa200302	LR>2000	2003	VaNa2003	Zea mays ssp. mays	Vandeño
BoNa201505	1.8e-05	1,00E-05	ML-LR	0.999972	LR>2000	BoNa201505	LR>2000	2015	BoNa2015	Zea mays ssp. mays	Bolita
PpNa194302	0.026284	1,00E-05	ML-LR	0.973706	LR<1960	PpNa194302	LR<1960	1943	PpNa1943	Zea mays ssp. mays	Pepitilla
PpNa194304	0.048766	1,00E-05	ML-LR	0.951224	LR<1960	PpNa194304	LR<1960	1943	PpNa1943	Zea mays ssp. mays	Pepitilla
BoNa200303	0.090077	1,00E-05	ML-LR	0.909913	LR>2000	BoNa200303	LR>2000	2003	BoNa2003	Zea mays ssp. mays	Bolita
BoNa200302	0.17522	1,00E-05	ML-LR	0.82477	LR>2000	BoNa200302	LR>2000	2003	BoNa2003	Zea mays ssp. mays	Bolita
BoNa20034b	0.194312	1,00E-05	ML-LR	0.805678	LR>2000	BoNa20034b	LR>2000	2003	BoNa2003	Zea mays ssp. mays	Bolita
BoNa200301	0.218318	1,00E-05	ML-LR	0.781672	LR>2000	BoNa200301	LR>2000	2003	BoNa2003	Zea mays ssp. mays	Bolita
PpNa2003a6	0.233276	1,00E-05	ML-LR	0.766714	LR>2000	PpNa2003a6	LR>2000	2003	PpNa2003	Zea mays ssp. mays	Pepitilla
PpNa2003a4	0.290385	1,00E-05	ML-LR	0.709605	LR>2000	PpNa2003a4	LR>2000	2003	PpNa2003	Zea mays ssp. mays	Pepitilla
BoNa197004	0.314397	0.026964	ML-LR	0.658639	LR 1960-1980	BoNa197004	LR 1960-1980	1970	BoNa1970	Zea mays ssp. mays	Bolita
PpNa2003a3	0.347499	1,00E-05	ML-LR	0.652491	LR>2000	PpNa2003a3	LR>2000	2003	PpNa2003	Zea mays ssp. mays	Pepitilla
PpNa2003a2	0.368461	1,00E-05	ML-LR	0.631529	LR>2000	PpNa2003a2	LR>2000	2003	PpNa2003	Zea mays ssp. mays	Pepitilla
PpNa2003a5	0.373626	1,00E-05	ML-LR	0.626364	LR>2000	PpNa2003a5	LR>2000	2003	PpNa2003	Zea mays ssp. mays	Pepitilla
PpNa2003a1	0.381581	1,00E-05	ML-LR	0.618409	LR>2000	PpNa2003a1	LR>2000	2003	PpNa2003	Zea mays ssp. mays	Pepitilla
PpNa2003a8	0.406443	1,00E-05	ML-LR	0.593547	LR>2000	PpNa2003a8	LR>2000	2003	PpNa2003	Zea mays ssp. mays	Pepitilla
PpNa196006	0.409864	1,00E-05	ML-LR	0.590126	LR 1960-1980	PpNa196006	LR 1960-1980	1960	PpNa1960	Zea mays ssp. mays	Pepitilla
BoNa197005	0.362525	0.060482	ML-LR	0.576993	LR 1960-1980	BoNa197005	LR 1960-1980	1970	BoNa1970	Zea mays ssp. mays	Bolita
BoNa197003	0.359191	0.064133	ML-LR	0.576676	LR 1960-1980	BoNa197003	LR 1960-1980	1970	BoNa1970	Zea mays ssp. mays	Bolita
MsNa201505	0.368177	0.059109	ML-LR	0.572714	LR>2000	MsNa201505	LR>2000	2015	MsNa2015	Zea mays ssp. mays	Mushito
PpNa196004	0.430891	1,00E-05	ML-LR	0.569099	LR 1960-1980	PpNa196004	LR 1960-1980	1960	PpNa1960	Zea mays ssp. mays	Pepitilla
BoNa197001	0.397387	0.034916	ML-LR	0.567697	LR 1960-1980	BoNa197001	LR 1960-1980	1970	BoNa1970	Zea mays ssp. mays	Bolita
PpNa2003a7	0.440618	1,00E-05	ML-LR	0.559372	LR>2000	PpNa2003a7	LR>2000	2003	PpNa2003	Zea mays ssp. mays	Pepitilla
TbNa200305	0.471083	1,00E-05	LL-LR	0.528907	LR>2000	TbNa200305	LR>2000	2003	TbNa2003	Zea mays ssp. mays	Tabloncillo
TbNa200303	0.482174	1,00E-05	LL-LR	0.517816	LR>2000	TbNa200303	LR>2000	2003	TbNa2003	Zea mays ssp. mays	Tabloncillo
TbNa200301	0.51036	1,00E-05	LL-LR	0.48963	LR>2000	TbNa200301	LR>2000	2003	TbNa2003	Zea mays ssp. mays	Tabloncillo
TbNa200302	0.514183	1,00E-05	LL-LR	0.485807	LR>2000	TbNa200302	LR>2000	2003	TbNa2003	Zea mays ssp. mays	Tabloncillo
TbNa200304	0.514709	1,00E-05	LL-LR	0.485281	LR>2000	TbNa200304	LR>2000	2003	TbNa2003	Zea mays ssp. mays	Tabloncillo
PpNa196003	0.582066	1,00E-05	LL-LR	0.417924	LR 1960-1980	PpNa196003	LR 1960-1980	1960	PpNa1960	Zea mays ssp. mays	Pepitilla
MsNa201403	0.544487	0.106863	LL-LR	0.348649	LR>2000	MsNa201403	LR>2000	2014	MsNa2014	Zea mays ssp. mays	Mushito
PpNa197303	0.659397	1,00E-05	LL-LR	0.340593	LR 1960-1980	PpNa197303	LR 1960-1980	1973	PpNa1973	Zea mays ssp. mays	Pepitilla
PpNa196001	0.664292	1,00E-05	LL-LR	0.335698	LR 1960-1980	PpNa196001	LR 1960-1980	1960	PpNa1960	Zea mays ssp. mays	Pepitilla
PpNa2003b5	0.678704	1,00E-05	LL-LR	0.321286	LR>2000	PpNa2003b5	LR>2000	2003	PpNa2003	Zea mays ssp. mays	Pepitilla
PpNa196005	0.688459	1,00E-05	LL-LR	0.311531	LR 1960-1980	PpNa196005	LR 1960-1980	1960	PpNa1960	Zea mays ssp. mays	Pepitilla
PpNa197301	0.688996	1,00E-05	LL-LR	0.310994	LR 1960-1980	PpNa197301	LR 1960-1980	1973	PpNa1973	Zea mays ssp. mays	Pepitilla
PpNa2003b2	0.692948	1,00E-05	LL-LR	0.307042	LR>2000	PpNa2003b2	LR>2000	2003	PpNa2003	Zea mays ssp. mays	Pepitilla
PpNa2003b1	0.698643	0.009295	LL-LR	0.292061	LR>2000	PpNa2003b1	LR>2000	2003	PpNa2003	Zea mays ssp. mays	Pepitilla
PpNa196002	0.686724	0.035795	LL-LR	0.277481	LR 1960-1980	PpNa196002	LR 1960-1980	1960	PpNa1960	Zea mays ssp. mays	Pepitilla
PpNa2003b3	0.722949	0.000272	LL-LR	0.276778	LR>2000	PpNa2003b3	LR>2000	2003	PpNa2003	Zea mays ssp. mays	Pepitilla
MsNa200405	0.573072	0.164845	LL-LR	0.262082	LR>2000	MsNa200405	LR>2000	2004	MsNa2004	Zea mays ssp. mays	Mushito
MsNa200404	0.568069	0.1782	LL-LR	0.25373	LR>2000	MsNa200404	LR>2000	2004	MsNa2004	Zea mays ssp. mays	Mushito
MsNa200403	0.591668	0.163644	LL-LR	0.244687	LR>2000	MsNa200403	LR>2000	2004	MsNa2004	Zea mays ssp. mays	Mushito
